ID,TV,Radio,Newspaper,Total Budget(in thousands),Sales
1,230.1,37.8,69.2,337.09999999999997,22.1
2,44.5,39.3,45.1,128.9,10.4
3,17.2,45.9,69.3,132.39999999999998,9.3
4,151.5,41.3,58.5,251.3,18.5
5,180.8,12.8,58.4,252.00000000000003,12.9
6,8.7,48.9,75.0,132.6,7.2
7,57.5,32.8,23.5,113.8,11.8
8,120.2,19.6,11.6,151.4,13.2
9,8.6,2.1,1.0,11.7,4.8
10,199.8,2.6,21.2,223.6,10.6
11,66.1,5.8,24.2,96.1,8.6
12,214.7,24.0,4.0,242.7,17.4
13,23.8,35.1,65.9,124.80000000000001,9.2
14,97.5,7.6,7.2,112.3,9.7
15,204.1,32.9,46.0,283.0,19.0
16,195.4,47.7,52.9,296.0,22.4
17,67.8,36.6,114.0,218.4,12.5
18,281.4,39.6,55.8,376.8,24.4
19,69.2,20.5,18.3,108.0,11.3
20,147.3,23.9,19.1,190.3,14.6
21,218.4,27.7,53.4,299.5,18.0
22,237.4,5.1,23.5,266.0,12.5
23,13.2,15.9,49.6,78.7,5.6
24,228.3,16.9,26.2,271.40000000000003,15.5
25,62.3,12.6,18.3,93.19999999999999,9.7
26,262.9,3.5,19.5,285.9,12.0
27,142.9,29.3,12.6,184.8,15.0
28,240.1,16.7,22.9,279.7,15.9
29,248.8,27.1,22.9,298.8,18.9
30,70.6,16.0,40.8,127.39999999999999,10.5
31,292.9,28.3,43.2,364.4,21.4
32,112.9,17.4,38.6,168.9,11.9
33,97.2,1.5,30.0,128.7,9.6
34,265.6,20.0,0.3,285.90000000000003,17.4
35,95.7,1.4,7.4,104.50000000000001,9.5
36,290.7,4.1,8.5,303.3,12.8
37,266.9,43.8,5.0,315.7,25.4
38,74.7,49.4,45.7,169.8,14.7
39,43.1,26.7,35.1,104.9,10.1
40,228.0,37.7,32.0,297.7,21.5
41,202.5,22.3,31.6,256.40000000000003,16.6
42,177.0,33.4,38.7,249.10000000000002,17.1
43,293.6,27.7,1.8,323.1,20.7
44,206.9,8.4,26.4,241.70000000000002,12.9
45,25.1,25.7,43.3,94.1,8.5
46,175.1,22.5,31.5,229.1,14.9
47,89.7,9.9,35.7,135.3,10.6
48,239.9,41.5,18.5,299.9,23.2
49,227.2,15.8,49.9,292.9,14.8
50,66.9,11.7,36.8,115.4,9.7
51,199.8,3.1,34.6,237.5,11.4
52,100.4,9.6,3.6,113.6,10.7
53,216.4,41.7,39.6,297.70000000000005,22.6
54,182.6,46.2,58.7,287.5,21.2
55,262.7,28.8,15.9,307.4,20.2
56,198.9,49.4,60.0,308.3,23.7
57,7.3,28.1,41.4,76.8,5.5
58,136.2,19.2,16.6,171.99999999999997,13.2
59,210.8,49.6,37.7,298.1,23.8
60,210.7,29.5,9.3,249.5,18.4
61,53.5,2.0,21.4,76.9,8.1
62,261.3,42.7,54.7,358.7,24.2
63,239.3,15.5,27.3,282.1,15.7
64,102.7,29.6,8.4,140.70000000000002,14.0
65,131.1,42.8,28.9,202.79999999999998,18.0
66,69.0,9.3,0.9,79.2,9.3
67,31.5,24.6,2.2,58.300000000000004,9.5
68,139.3,14.5,10.2,164.0,13.4
69,237.4,27.5,11.0,275.9,18.9
70,216.8,43.9,27.2,287.9,22.3
71,199.1,30.6,38.7,268.4,18.3
72,109.8,14.3,31.7,155.79999999999998,12.4
73,26.8,33.0,19.3,79.1,8.8
74,129.4,4.0,31.3,164.70000000000002,11.0
75,213.4,24.6,13.1,251.1,17.0
76,16.9,43.7,89.4,150.0,8.7
77,27.5,1.6,20.7,49.8,6.9
78,120.5,28.5,14.2,163.2,14.2
79,5.4,29.9,9.4,44.699999999999996,5.3
80,116.0,7.7,23.1,146.8,11.0
81,76.4,26.7,22.3,125.4,11.8
82,239.8,4.1,36.9,280.8,12.3
83,75.3,20.3,32.5,128.1,11.3
84,68.4,44.5,35.6,148.5,13.6
85,213.5,43.0,33.8,290.3,21.7
86,193.2,18.4,65.7,277.3,15.2
87,76.3,27.5,16.0,119.8,12.0
88,110.7,40.6,63.2,214.5,16.0
89,88.3,25.5,73.4,187.2,12.9
90,109.8,47.8,51.4,209.0,16.7
91,134.3,4.9,9.3,148.50000000000003,11.2
92,28.6,1.5,33.0,63.1,7.3
93,217.7,33.5,59.0,310.2,19.4
94,250.9,36.5,72.3,359.7,22.2
95,107.4,14.0,10.9,132.3,11.5
96,163.3,31.6,52.9,247.8,16.9
97,197.6,3.5,5.9,207.0,11.7
98,184.9,21.0,22.0,227.9,15.5
99,289.7,45.9,51.2,386.79999999999995,25.4
100,135.2,41.7,45.9,222.79999999999998,17.2
101,222.4,4.3,49.8,276.5,11.7
102,296.4,36.3,100.9,433.6,23.8
103,280.2,10.1,21.4,311.7,14.8
104,187.9,17.2,17.9,223.0,14.7
105,238.2,34.3,5.3,277.8,20.7
106,137.9,46.4,59.0,243.3,19.2
107,25.0,11.0,29.7,65.7,7.2
108,90.4,0.3,23.2,113.9,10.6
109,13.1,0.4,25.6,39.1,5.3
110,255.4,26.9,5.5,287.8,19.8
111,225.8,8.2,56.5,290.5,13.4
112,241.7,38.0,23.2,302.9,21.8
113,175.7,15.4,2.4,193.5,14.1
114,209.6,20.6,10.7,240.89999999999998,15.9
115,78.2,46.8,34.5,159.5,14.6
116,75.1,35.0,52.7,162.8,12.6
117,139.2,14.3,25.6,179.1,12.2
118,76.4,0.8,14.8,92.0,9.4
119,125.7,36.9,79.2,241.8,15.9
